RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Joseph Holmes,JunYong Park,170.0,-200.0,170.0,50.0,2022-10-29,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,1,0,4.53,0.5,1.1,1.83,0.5,3,2,16,0,1,1,2,0,0,0,4,Orthodox,177.8,185.42,185,0,1,0,2.88,0.53,0.8,1.49,0.4,1,1,6,0,0,0,0,0,2,0,2,Orthodox,193.04,203.2,185,27,31,0,0,2,2,1,10,0,0,-2,-15.24,-17.78,4,1.65,0.3,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:04,484.0,550.0,130.0,700.0,400.0,550.0,400.0
Chase Hooper,Steve Garcia,-320.0,265.0,31.25,265.0,2022-10-29,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,1,0,0,5.0,0.56,0.6,1.27,0.4,1,2,7,0,0,0,0,2,0,0,2,Southpaw,182.88,190.5,145,0,1,0,5.08,0.52,2.3,1.45,0.24,2,2,16,0,0,0,1,2,1,0,4,Southpaw,185.42,187.96,155,23,30,1,-1,-1,-2,0,-9,0,0,-1,-2.54,2.54,7,-0.08,-1.7,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:32,92.0,225.0,600.0,140.0,2500.0,450.0,550.0
Cody Durden,Carlos Mota,135.0,-155.0,135.0,64.5161,2022-10-29,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,0,0,0.8,0.41,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,175.26,125,0,1,1,3.19,0.5,0.8,4.6,0.5,1,2,9,0,0,0,1,1,0,0,2,Southpaw,170.18,170.18,125,31,27,0,-1,-1,-2,-2,-9,0,-1,0,-7.62,5.08,-4,-2.39,0.2,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,400.0,350.0,900.0,1100.0,400.0,130.0
Christian Rodriguez,Joshua Weems,-425.0,340.0,23.5294,340.0,2022-10-29,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,5.25,0.64,0.0,4.77,0.4,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,1,0,0,3.65,0.47,1.1,1.07,0.54,1,1,6,0,0,0,1,0,0,0,1,Orthodox,170.18,180.34,145,24,28,0,0,-1,-1,0,-5,0,0,0,2.54,-5.08,4,1.6,-1.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,1.0,4:07,247.0,180.0,800.0,600.0,700.0,120.0,1400.0
Charles Oliveira,Islam Makhachev,175.0,-205.0,175.0,48.7805,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,True,Lightweight,MALE,5,0,10,0,2.65,0.59,1.1,3.19,0.53,10,1,26,3,0,0,4,2,5,0,11,Southpaw,177.8,177.8,155,0,11,0,3.39,0.53,2.8,2.17,0.4,11,8,57,2,0,0,2,3,16,0,21,Orthodox,177.8,187.96,155,33,30,0,-1,-1,-10,-7,-31,1,-1,-11,0.0,-10.16,-3,-0.74,-1.7,1.02,,4.0,1.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,4.0,,,,,Red,SUB,Arm Triangle,2.0,3:16,496.0,1200.0,425.0,330.0,200.0,550.0,300.0
Aljamain Sterling,TJ Dillashaw,-180.0,155.0,55.5556,155.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Bantamweight,MALE,5,0,1,0,5.09,0.41,0.8,1.56,0.3,4,4,48,8,0,1,4,7,1,0,13,Orthodox,167.64,170.18,135,0,7,0,4.61,0.52,0.7,2.31,0.27,7,3,45,4,0,1,6,1,4,0,13,Orthodox,170.18,180.34,145,33,36,0,-6,-3,0,1,3,4,6,-3,-2.54,-10.16,3,0.48,0.1,-0.75,,2.0,0.0,,,,,,,,,,,0.0,,7.0,,,,,,,,,,,2.0,,,Red,KO/TKO,Punches,2.0,3:44,524.0,120.0,300.0,400.0,1800.0,1000.0,500.0
Petr Yan,Sean O'Malley,-285.0,240.0,35.0877,240.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Bantamweight,MALE,3,0,3,0,7.63,0.61,0.3,0.35,0.42,5,1,19,2,0,0,2,6,0,0,8,Switch,180.34,182.88,135,1,0,0,5.14,0.53,0.1,1.73,0.51,7,2,34,4,0,0,4,4,0,0,8,Switch,170.18,170.18,135,29,27,-1,3,-2,0,-1,-15,-2,2,0,10.16,12.7,-2,2.49,0.2,-1.38,,11.0,1.0,,,,,,,,,,,1.0,,13.0,,,,,,,,,,,11.0,,,Red,S-DEC,,3.0,5:00,900.0,100.0,,1400.0,,250.0,
Beneil Dariush,Mateusz Gamrot,210.0,-250.0,210.0,40.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Lightweight,MALE,3,0,4,0,3.23,0.5,0.1,5.25,0.35,4,1,13,0,0,0,1,2,1,0,4,Southpaw,177.8,177.8,155,0,7,1,3.78,0.48,0.9,1.9,0.34,7,4,42,0,0,2,5,3,5,0,15,Southpaw,177.8,182.88,155,33,31,0,-3,-3,-11,-3,-29,0,-1,-4,0.0,-5.08,-2,-0.55,-0.8,3.35,,9.0,6.0,,,,,,,,,6.0,,,,,,,,,,,,,9.0,,,,,Red,U-DEC,,3.0,5:00,900.0,350.0,130.0,1100.0,600.0,750.0,350.0
Katlyn Chookagian,Manon Fiorot,190.0,-225.0,190.0,44.4444,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Women's Flyweight,FEMALE,3,0,4,0,6.26,0.41,0.0,1.17,0.42,4,0,10,0,0,0,2,2,0,0,4,Orthodox,170.18,165.1,125,0,4,0,4.58,0.34,0.3,0.31,0.15,4,4,43,1,0,2,9,0,0,0,11,Orthodox,175.26,172.72,125,33,32,0,0,0,-7,-4,-33,-1,2,0,-5.08,-7.62,-1,1.68,-0.3,0.86,,6.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,Blue,U-DEC,,3.0,5:00,900.0,250.0,-105.0,2000.0,2500.0,1200.0,350.0
Belal Muhammad,Sean Brady,115.0,-135.0,115.0,74.0741,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Welterweight,MALE,3,0,5,0,3.77,0.53,1.2,3.29,0.57,5,0,14,0,0,0,3,0,2,0,5,Orthodox,177.8,182.88,170,0,7,0,4.39,0.43,0.2,2.28,0.39,7,3,47,1,0,1,9,1,1,0,12,Orthodox,180.34,182.88,170,34,29,0,-2,-2,-7,-3,-33,-1,-1,1,-2.54,0.0,-5,-0.62,1.0,1.01,,8.0,5.0,,,,,,,,5.0,,,,,,,,,,,,,8.0,,,,,,Red,KO/TKO,Punches,2.0,4:47,587.0,165.0,150.0,1800.0,550.0,900.0,600.0
Makhmud Muradov,Caio Borralho,180.0,-210.0,180.0,47.619,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Middleweight,MALE,3,0,4,0,3.61,0.6,0.5,1.56,0.6,4,0,10,0,0,0,3,1,0,0,4,Southpaw,185.42,190.5,185,1,0,0,4.21,0.43,0.2,3.03,0.66,3,1,11,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,185,32,29,-1,4,1,1,-1,-1,0,-1,0,-2.54,0.0,-3,-0.6,0.3,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,550.0,165.0,2500.0,300.0,330.0,450.0
Volkan Oezdemir,Nikita Krylov,160.0,-190.0,160.0,52.6316,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Light Heavyweight,MALE,3,0,1,0,4.38,0.55,1.4,2.29,0.38,5,7,28,0,0,0,1,4,4,0,9,Orthodox,190.5,195.58,205,0,1,0,4.79,0.48,0.1,0.56,0.33,3,5,26,1,0,2,1,3,0,0,6,Orthodox,187.96,190.5,205,33,30,0,0,2,3,2,2,-1,1,4,2.54,5.08,-3,-0.41,1.3,1.73,,10.0,8.0,,,,,,8.0,,,,,,,,,,,,,10.0,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,550.0,330.0,2000.0,275.0,275.0,330.0
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,-140.0,120.0,71.4286,120.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Welterweight,MALE,3,1,0,0,1.8,0.39,0.5,1.35,0.3,1,1,4,0,0,0,0,0,1,0,1,Switch,185.42,180.34,170,0,1,0,2.78,0.53,0.0,1.25,0.22,1,1,4,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,32,29,1,-1,0,0,0,0,0,0,1,5.08,-2.54,-3,-0.98,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,140.0,300.0,450.0,750.0,550.0,700.0
Armen Petrosyan,AJ Dobson,-215.0,185.0,46.5116,185.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,MALE,3,1,0,0,4.29,0.46,0.3,1.67,0.75,1,1,4,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,1,0,0,5.69,0.52,0.0,0.22,0.33,2,1,7,0,0,1,0,1,0,0,2,Orthodox,190.5,180.34,185,31,30,0,0,-1,-1,0,-3,0,-1,1,-5.08,12.7,-1,-1.4,0.3,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,350.0,650.0,2000.0,1200.0,100.0,300.0
Muhammad Mokaev,Malcolm Gordon,-1150.0,750.0,8.6957,750.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Flyweight,MALE,3,0,2,0,2.5,0.45,1.0,1.72,0.35,2,2,6,0,0,0,1,1,0,0,2,Switch,170.18,180.34,125,0,2,0,1.61,0.45,0.8,5.29,0.41,2,0,4,0,0,0,1,0,1,0,2,Orthodox,170.18,177.8,125,22,32,0,0,0,0,2,2,0,1,-1,0.0,2.54,10,0.89,0.2,-3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,3.0,4:26,866.0,225.0,2000.0,110.0,1600.0,240.0,2000.0
Karol Rosa,Lina Lansberg,-425.0,340.0,23.5294,340.0,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Women's Bantamweight,FEMALE,3,2,0,0,2.69,0.55,0.1,0.52,0.27,2,5,25,0,0,0,4,0,0,0,4,Orthodox,170.18,165.1,135,1,0,0,6.49,0.56,0.0,1.2,0.46,4,1,15,0,0,1,3,0,0,0,4,Orthodox,165.1,170.18,135,27,40,1,0,-2,0,4,10,0,0,0,5.08,-5.08,13,-3.8,0.1,-0.68,,12.0,9.0,,,,9.0,,,,,,,,,,,,,12.0,,,,,,,,,,Red,M-DEC,,3.0,5:00,900.0,-150.0,450.0,600.0,2800.0,400.0,1200.0
Alexa Grasso,Viviane Araujo,-210.0,180.0,47.619,180.0,2022-10-15,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,5,0,1,0,4.11,0.47,0.6,1.76,0.4,2,2,21,0,0,0,4,1,0,0,5,Orthodox,162.56,172.72,125,0,3,0,4.67,0.43,0.6,0.41,0.45,3,3,23,2,0,1,4,0,1,0,6,Orthodox,165.1,167.64,125,29,35,0,-2,-1,-1,-1,-2,-2,1,-1,-2.54,5.08,6,-0.56,0.0,1.35,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,5.0,5:00,1500.0,120.0,275.0,650.0,1400.0,350.0,1100.0
Cub Swanson,Jonathan Martinez,190.0,-225.0,190.0,44.4444,2022-10-15,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,3,0,4.54,0.49,0.1,0.41,0.35,3,3,29,0,0,0,5,2,0,0,7,Southpaw,172.72,177.8,135,0,1,0,4.67,0.5,0.4,1.04,0.5,6,11,74,0,0,1,9,6,2,0,18,Orthodox,172.72,177.8,145,38,28,0,2,-3,-11,-8,-45,0,-4,-2,0.0,0.0,-10,-0.13,-0.3,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,4:19,559.0,400.0,150.0,1400.0,1200.0,475.0,225.0
Jordan Wright,Dusko Todorovic,190.0,-225.0,190.0,44.4444,2022-10-15,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,5.54,0.57,0.0,0.96,0.12,2,3,11,0,0,0,1,2,0,0,3,Orthodox,185.42,187.96,185,2,0,0,4.1,0.56,0.4,2.09,0.45,1,3,7,0,0,0,0,2,0,0,2,Orthodox,187.96,195.58,205,31,28,-1,0,1,1,0,4,0,0,0,-2.54,-7.62,-3,1.44,-0.4,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,2.0,3:12,492.0,1600.0,,900.0,,250.0,
Raphael Assuncao,Victor Henry,350.0,-435.0,350.0,22.9885,2022-10-15,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,8.34,0.54,0.5,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Switch,170.18,172.72,135,4,0,0,3.22,0.42,0.2,1.65,0.39,7,8,58,0,0,4,7,2,1,0,14,Orthodox,165.1,167.64,135,40,35,-4,1,-6,-13,-8,-55,0,-2,-1,5.08,5.08,-5,5.12,0.3,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,550.0,130.0,1200.0,1000.0,1800.0,150.0
Misha Cirkunov,Alonzo Menifield,160.0,-190.0,160.0,52.6316,2022-10-15,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,1,0,3.77,0.54,0.2,0.63,0.33,4,3,17,0,0,0,1,5,1,0,7,Orthodox,182.88,193.04,205,3,0,0,3.86,0.51,1.7,4.15,0.39,4,6,18,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,35,34,-3,1,0,1,-3,-1,0,4,-4,-7.62,-2.54,-1,-0.09,-1.5,-3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,1:28,88.0,650.0,500.0,350.0,1100.0,900.0,-110.0
Mana Martinez,Brandon Davis,-145.0,125.0,68.9655,125.0,2022-10-15,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,3,0,0,4.68,0.35,0.1,0.74,0.42,1,6,23,0,0,0,2,0,1,0,3,Orthodox,177.8,182.88,135,1,0,0,4.33,0.48,0.5,0.72,0.42,1,2,7,0,0,1,0,0,0,0,1,Orthodox,177.8,177.8,135,26,32,2,0,0,2,4,16,0,0,1,0.0,5.08,6,0.35,-0.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,150.0,300.0,1200.0,650.0,225.0,600.0
Nick Maximov,Jacob Malkoun,-140.0,120.0,71.4286,120.0,2022-10-15,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,3.86,0.56,0.4,6.62,0.42,2,2,10,0,0,0,2,0,0,0,2,Orthodox,175.26,185.42,185,1,0,0,1.93,0.45,0.2,4.16,0.45,3,1,10,0,0,1,2,0,0,0,3,Southpaw,182.88,193.04,185,24,27,0,0,-1,-1,1,0,0,0,0,-7.62,-7.62,3,1.93,0.2,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,175.0,175.0,400.0,950.0,900.0,900.0
Joanderson Brito,Lucas Alexander,-380.0,310.0,26.3158,310.0,2022-10-15,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,5.23,0.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,145,0,1,0,3.35,0.51,0.6,3.11,0.76,1,1,7,0,0,0,1,1,0,0,2,Orthodox,172.72,182.88,145,27,27,0,-1,-1,-2,-1,-7,0,-1,0,7.62,2.54,0,1.88,-0.6,-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,2:02,122.0,350.0,,250.0,,120.0,
Piera Rodriguez,Sam Hughes,-180.0,155.0,55.5556,155.0,2022-10-15,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,2,0,4.33,0.46,0.0,0.85,0.3,2,3,13,0,1,0,0,1,0,0,2,Orthodox,165.1,162.56,115,0,2,0,3.64,0.47,0.0,3.11,0.41,2,0,6,0,0,0,2,0,0,0,2,Orthodox,160.02,160.02,115,29,30,0,0,0,0,3,7,0,1,0,5.08,2.54,1,0.69,0.0,-2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,110.0,215.0,900.0,1000.0,550.0,1200.0
Tatsuro Taira,CJ Vergara,-275.0,230.0,36.3636,230.0,2022-10-15,"Las Vegas, Nevada, USA",USA,Red,False,Flyweight,MALE,3,0,1,0,5.24,0.57,0.2,0.0,0.0,1,1,7,0,0,1,0,1,0,0,2,Orthodox,167.64,172.72,125,0,1,0,3.56,0.65,2.1,2.35,0.47,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,177.8,125,22,31,0,0,0,1,1,4,0,1,0,-2.54,-5.08,9,1.68,-1.9,-2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,2.0,4:19,559.0,100.0,450.0,300.0,2500.0,900.0,550.0
Mike Jackson,Pete Rodriguez,500.0,-675.0,500.0,14.8148,2022-10-15,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,9.28,0.43,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Switch,175.26,180.34,170,0,1,0,4.49,0.57,0.0,0.71,0.33,1,1,5,0,0,0,0,0,0,0,1,Orthodox,187.96,187.96,170,37,25,1,-1,-1,-1,0,-4,0,0,0,-12.7,-7.62,-12,4.79,0.0,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1.0,1:33,93.0,1800.0,110.0,2000.0,900.0,850.0,550.0
Mackenzie Dern,Yan Xiaonan,-260.0,220.0,38.4615,220.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,5,2,0,0,4.97,0.44,0.0,1.0,0.73,6,2,23,1,0,0,6,0,0,0,6,Orthodox,165.1,160.02,115,0,1,0,3.43,0.39,1.2,0.88,0.16,4,2,21,0,0,2,1,0,4,0,7,Orthodox,162.56,160.02,115,29,33,2,-1,2,-1,0,2,1,0,-4,2.54,0.0,4,1.54,-1.2,0.12,,6.0,5.0,,,5.0,,,,,,,,,,13.0,,,6.0,,,,,,,,,,14.0,Red,M-DEC,,5.0,5:00,1500.0,400.0,,-115.0,,1200.0,
Randy Brown,Francisco Trinaldo,-325.0,270.0,30.7692,270.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,2,0,3.13,0.45,0.5,0.98,0.42,7,7,65,0,0,2,9,5,2,0,18,Southpaw,175.26,177.8,170,0,3,0,4.38,0.47,0.6,0.72,0.39,3,4,32,0,0,1,3,2,3,0,9,Orthodox,190.5,198.12,170,32,44,0,-1,4,9,3,33,0,3,-1,-15.24,-20.32,12,-1.25,-0.1,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,140.0,500.0,450.0,1800.0,225.0,900.0
Raoni Barcelos,Trevin Jones,-260.0,220.0,38.4615,220.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,2,0,0,2.13,0.37,0.2,0.62,0.15,1,2,10,0,0,0,0,1,0,0,1,Southpaw,170.18,177.8,135,2,0,0,5.22,0.51,0.6,1.86,0.32,5,2,19,0,0,0,2,2,1,0,5,Orthodox,170.18,170.18,135,35,32,0,0,-4,-4,0,-9,0,-1,-1,0.0,7.62,-3,-3.09,-0.4,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,140.0,500.0,600.0,1000.0,275.0,600.0
Sodiq Yusuff,Don Shainis,-1050.0,700.0,9.5238,700.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,0,0,3.42,0.5,1.9,0.97,0.25,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,145,0,1,0,5.66,0.49,0.4,0.28,0.2,5,1,17,0,0,0,4,2,0,0,6,Orthodox,175.26,180.34,145,29,32,0,-1,-5,-6,-1,-17,0,-2,0,-7.62,-10.16,3,-2.24,1.5,0.69,,,12.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,Red,SUB,Guillotine Choke,1.0,0:30,30.0,200.0,1200.0,1200.0,3500.0,-175.0,1600.0
Mike Davis,Viacheslav Borshchev,-190.0,160.0,52.6316,160.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,5.4,0.53,0.0,0.0,0.0,2,1,6,0,0,0,0,2,0,0,2,Orthodox,180.34,175.26,155,0,2,0,5.35,0.52,0.4,2.77,0.53,2,2,11,0,0,0,1,1,0,0,2,Orthodox,182.88,182.88,155,29,30,1,-2,0,0,-1,-5,0,1,0,-2.54,-7.62,1,0.05,-0.4,-2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,250.0,380.0,600.0,2200.0,175.0,380.0
John Castaneda,Daniel Santos,-180.0,155.0,55.5556,155.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,1,0,0,4.26,0.37,0.0,1.9,0.5,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,2,0,4.67,0.5,0.1,1.79,0.35,2,1,10,0,0,0,1,1,1,0,3,Switch,167.64,180.34,135,30,27,1,-2,-2,-3,0,-7,0,-1,-1,2.54,-10.16,-3,-0.41,-0.1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,2.0,4:28,568.0,140.0,400.0,500.0,1400.0,380.0,450.0
Ilir Latifi,Aleksei Oleinik,-195.0,165.0,51.2821,165.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,1,0,3.29,0.48,1.9,1.82,0.46,2,7,26,0,0,1,0,1,7,0,9,Orthodox,187.96,203.2,240,0,1,0,2.05,0.45,0.3,2.11,0.35,3,6,28,0,0,1,2,3,2,0,8,Orthodox,177.8,185.42,230,40,45,0,0,-1,1,1,-2,0,-2,5,10.16,17.78,5,1.24,1.6,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,300.0,,800.0,,150.0,
Joaquim Silva,Jesse Ronson,-140.0,120.0,71.4286,120.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,4,0,0,3.54,0.47,0.5,0.46,0.28,0,4,12,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,155,2,0,0,3.66,0.43,0.8,0.39,0.5,3,3,16,0,0,2,0,2,0,0,4,Southpaw,172.72,175.26,155,33,36,2,0,-3,-4,1,-4,0,-2,0,5.08,2.54,3,-0.12,-0.3,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Flying Knee,2.0,3:08,488.0,400.0,400.0,400.0,700.0,225.0,300.0
Krzysztof Jotko,Brendan Allen,-125.0,105.0,80.0,105.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,2,0,3.98,0.53,1.4,1.74,0.47,4,2,20,0,0,0,3,1,4,0,8,Orthodox,187.96,190.5,185,0,2,0,2.98,0.42,0.1,1.33,0.39,5,5,44,0,0,3,7,1,0,0,11,Southpaw,185.42,195.58,185,33,26,0,0,-1,-3,-3,-24,0,0,4,2.54,-5.08,-7,1.0,1.3,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:17,257.0,140.0,300.0,1800.0,400.0,500.0,500.0
Julija Stoliarenko,Chelsea Chandler,-125.0,105.0,80.0,105.0,2022-10-01,"Las Vegas, Nevada, USA",USA,Blue,False,Catch Weight,MALE,3,0,0,0,3.53,0.45,0.0,0.91,0.6,0,0,0,0,0,0,0,0,0,0,0,Southpaw,172.72,172.72,135,0,1,0,2.49,0.39,1.7,0.93,0.27,1,4,13,0,0,0,0,0,1,0,1,Orthodox,170.18,167.64,125,29,31,0,-1,-1,-1,-4,-13,0,0,-1,2.54,5.08,2,1.04,-1.7,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,4:15,255.0,225.0,200.0,300.0,1100.0,1100.0,500.0
